17,39
20.9,105
24.8,202
28.7,120
32.6,77
36.5,100
40.4,232
44.3,1019
48.2,5320
52.1,2743
56,772
59.9,168
63.8,124
67.7,133
71.6,130
75.5,116
79.4,120
83.3,128
87.2,122
91.1,86
95,104
98.9,101
102.8,110
106.7,112
110.6,92
114.5,87
118.4,98
122.3,105
126.2,112
130.1,90
134,115
137.9,122
141.8,126
145.7,446
149.6,488
153.5,573
157.4,145
161.3,607
165.2,135
169.1,90
173,71
176.9,116
180.8,142
184.7,156
188.6,243
192.5,254
196.4,279
200.3,262
204.2,320
208.1,390
212,307
215.9,489
219.8,591
223.7,779
227.6,1082
231.5,8632
235.4,13441
239.3,72537
243.2,164295
247.1,27100
